"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","p_doctor","TimeFrame","GeoVintage","Source","Location"
"County","Autauga","AL","01001","=""01001""","78.5","2018","2010","PolicyMap & CDC BRFSS","United States"
"County","Baldwin","AL","01003","=""01003""","80.3","2018","2010","PolicyMap & CDC BRFSS","United States"
"County","Barbour","AL","01005","=""01005""","77.7","2018","2010","PolicyMap & CDC BRFSS","United States"
"County","Bibb","AL","01007","=""01007""","77.8","2018","2010","PolicyMap & CDC BRFSS","United States"
"County","Blount","AL","01009","=""01009""","79.1","2018","2010","PolicyMap & CDC BRFSS","United States"
"County","Bullock","AL","01011","=""01011""","74.1","2018","2010","PolicyMap & CDC BRFSS","United States"
"County","Butler","AL","01013","=""01013""","77.6","2018","2010","PolicyMap & CDC BRFSS","United States"
"County","Calhoun","AL","01015","=""01015""","78.8","2018","2010","PolicyMap & CDC BRFSS","United States"
"County","Chambers","AL","01017","=""01017""","79.9","2018","2010","PolicyMap & CDC BRFSS","United States"
"County","Cherokee","AL","01019","=""01019""","79.3","2018","2010","PolicyMap & CDC BRFSS","United States"
"County","Chilton","AL","01021","=""01021""","78.1","2018","2010","PolicyMap & CDC BRFSS","United States"
"County","Choctaw","AL","01023","=""01023""","78.4","2018","2010","PolicyMap & CDC BRFSS","United States"
"County","Clarke","AL","01025","=""01025""","77.4","2018","2010","PolicyMap & CDC BRFSS","United States"
"County","Clay","AL","01027","=""01027""","78.4","2018","2010","PolicyMap & CDC BRFSS","United States"
"County","Cleburne","AL","01029","=""01029""","78.2","2018","2010","PolicyMap & CDC BRFSS","United States"
"County","Coffee","AL","01031","=""01031""","78.2","2018","2010","PolicyMap & CDC BRFSS","United States"
"County","Colbert","AL","01033","=""01033""","80.9","2018","2010","PolicyMap & CDC BRFSS","United States"
"County","Conecuh","AL","01035","=""01035""","78.2","2018","2010","PolicyMap & CDC BRFSS","United States"
"County","Coosa","AL","01037","=""01037""","80.4","2018","2010","PolicyMap & CDC BRFSS","United States"
"County","Covington","AL","01039","=""01039""","78.6","2018","2010","PolicyMap & CDC BRFSS","United States"
"County","Crenshaw","AL","01041","=""01041""","77.8","2018","2010","PolicyMap & CDC BRFSS","United States"
